city,country,id,lat,lng,temp,humidity,clouds,wind_speed
Thanh Pho Uong Bi,VN,1563241,21.03,106.78,75.2,78,75,11.41
Gerede,TR,746940,40.8,32.2,31.41,75,100,4.38
Mutis,CO,3689325,6.23,-77.4,79.84,80,62,5.82
Saint-Pierre,RE,935214,-21.34,55.48,79.92,78,90,10.29
Saint George,US,5546220,37.1,-113.58,37.98,60,1,3.36
Ryotsu,JP,1853371,38.08,138.43,43.56,70,90,8.05
Aliwal North,ZA,1023309,-30.69,26.71,81.93,38,0,21.52
Rucheng,CN,1797069,32.39,120.56,46.8,86,100,1.99
Ketchikan,US,5554428,55.34,-131.65,36.05,98,100,4.43
Suwannaphum,TH,1606017,15.6,103.8,92.68,44,84,8.05
Praia,CV,3374333,14.92,-23.51,71.6,56,0,12.75
Smithers,CA,6149996,54.78,-127.17,30.2,92,90,3.36
East London,ZA,1006984,-33.02,27.91,77.0,61,20,19.46
Oussouye,SN,2246901,12.48,-16.55,71.6,68,45,2.24
Pedernales,DO,3495137,18.04,-71.74,64.13,86,1,4.12
Perth,AU,2063523,-31.93,115.83,89.87,27,0,14.99
Nemuro,JP,2128975,43.32,145.57,26.6,63,20,11.41
Klyuchi,RU,1503153,52.27,79.17,32.11,91,100,19.13
Yangi Marg`ilon,UZ,1513491,40.43,71.72,32.79,31,75,2.24
Ostrovnoy,RU,556268,68.05,39.51,9.97,89,100,6.26
Bullhead City,US,5287565,35.15,-114.57,55.06,41,1,6.93
Tilichiki,RU,2120591,60.47,166.1,-13.13,96,100,14.41
Monrovia,LR,2274895,6.3,-10.8,75.2,94,75,2.95
Anking,CN,1817993,30.51,117.05,45.1,83,100,15.08
Anatoliko,GR,736859,40.66,22.71,43.72,69,0,4.12
Cherskiy,RU,2126199,68.75,161.3,-39.15,99,4,1.63
Buraidah,SA,107304,26.33,43.98,50.0,53,0,11.41
Vestmannaeyjar,IS,3412093,63.44,-20.27,35.6,59,40,20.8
Rio Verde de Mato Grosso,BR,3451051,-18.92,-54.84,72.72,95,78,1.01
Newport,GB,2641598,51.59,-3.0,40.77,100,90,5.82
Kutum,SD,371745,14.2,24.67,59.0,14,3,12.66
Iracoubo,GF,3381428,5.48,-53.2,78.08,82,99,13.71
Hastings,GB,2647356,50.86,0.57,41.34,93,33,5.82
Faya,SA,110690,18.39,42.45,55.35,81,40,14.99
Saint-Philippe,RE,935215,-21.36,55.77,79.88,78,90,10.29
